street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
369 Unley Road,369,Unley Road,ADELAIDE,5000,"369 Unley Road, Unley Park South Australia 5061, Australia",CITY OF ADELAIDE,-34.960419,138.608237,4,Major Cities of Australia,mapbox_api
251 Light Square,251,Light Square,ADELAIDE,5000,"251 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925744,138.593031,4,Major Cities of Australia,mapbox_api
688 Waymouth Street,688,Waymouth Street,ADELAIDE,5000,"688 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589634,4,Major Cities of Australia,mapbox_api
Elizabeth Street,511,Elizabeth Street,ADELAIDE,5000,"Elizabeth Street, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.981097,138.512282,4,Major Cities of Australia,mapbox_api
317 Henley Beach Road,317,Henley Beach Road,ADELAIDE,5000,"317 Henley Beach Road, Brooklyn Park South Australia 5032, Australia",CITY OF ADELAIDE,-34.925241,138.545757,4,Major Cities of Australia,mapbox_api
682 Magill Road,682,Magill Road,ADELAIDE,5000,"682 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914573,138.645238,4,Major Cities of Australia,mapbox_api
266 Marion Road,266,Marion Road,ADELAIDE,5000,"266 Marion Road, Netley South Australia 5037, Australia",CITY OF ADELAIDE,-34.94874,138.55331,4,Major Cities of Australia,mapbox_api
44 Churchill Road,44,Churchill Road,VICTOR HARBOR,5211,"44 Churchill Road, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.553618,138.613247,3,Inner Regional Australia,mapbox_api
Whitmore Square,983,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
38 Lower North East Road,38,Lower North East Road,ADELAIDE,5000,"38 Lower North East Road, Paradise South Australia 5075, Australia",CITY OF ADELAIDE,-34.87635,138.665968,4,Major Cities of Australia,mapbox_api
415 Cross Road,415,Cross Road,ADELAIDE,5000,"415 Cross Road, Edwardstown South Australia 5039, Australia",CITY OF ADELAIDE,-34.967846,138.566995,4,Major Cities of Australia,mapbox_api
George Street,734,George Street,PORT AUGUSTA,5700,"George Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.494312,137.761365,2,Outer Regional Australia,mapbox_api
9 Hurtle Square,9,Hurtle Square,ADELAIDE,5000,"9 Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931337,138.605457,4,Major Cities of Australia,mapbox_api
918 Brighton Road,918,Brighton Road,ADELAIDE,5000,"918 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.999305,138.521677,4,Major Cities of Australia,mapbox_api
Palmer Place,936,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
839 Marion Road,839,Marion Road,ADELAIDE,5000,"839 Marion Road, Mitchell Park South Australia 5043, Australia",CITY OF ADELAIDE,-35.002082,138.557984,4,Major Cities of Australia,mapbox_api
27 Marion Road,27,Marion Road,ADELAIDE,5000,"27 Marion Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.927185,138.552478,4,Major Cities of Australia,mapbox_api
423 Carrington Street,423,Carrington Street,ADELAIDE,5000,"423 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930936,138.616108,4,Major Cities of Australia,mapbox_api
323 Waymouth Street,323,Waymouth Street,ADELAIDE,5000,"323 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
109 Churchill Road,109,Churchill Road,ADELAIDE,5000,"109 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.888162,138.585422,4,Major Cities of Australia,mapbox_api
418 Currie Street,418,Currie Street,ADELAIDE,5000,"418 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924843,138.589533,4,Major Cities of Australia,mapbox_api
291 Pirie Street,291,Pirie Street,ADELAIDE,5000,"291 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925249,138.609833,4,Major Cities of Australia,mapbox_api
26 Waymouth Street,26,Waymouth Street,ADELAIDE,5000,"26 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925622,138.598611,4,Major Cities of Australia,mapbox_api
839 Churchill Road,839,Churchill Road,ADELAIDE,5000,"839 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891239,138.58531,4,Major Cities of Australia,mapbox_api
941 Glen Osmond Road,941,Glen Osmond Road,ADELAIDE,5000,"941 Glen Osmond Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.963364,138.644124,4,Major Cities of Australia,mapbox_api
Whitmore Square,411,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
582 Hindley Street,582,Hindley Street,ADELAIDE,5000,"582 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
242 Gawler Place,242,Gawler Place,ADELAIDE,5000,"242 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925175,138.602027,4,Major Cities of Australia,mapbox_api
494 Unley Road,494,Unley Road,ADELAIDE,5000,"494 Unley Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965106,138.608597,4,Major Cities of Australia,mapbox_api
285 Halifax Street,285,Halifax Street,ADELAIDE,5000,"285 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932493,138.608246,4,Major Cities of Australia,mapbox_api
57 Marion Road,57,Marion Road,ADELAIDE,5000,"57 Marion Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.929471,138.55256,4,Major Cities of Australia,mapbox_api
83 Rundle Street,83,Rundle Street,ADELAIDE,5000,"83 Rundle Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.919832,138.619658,4,Major Cities of Australia,mapbox_api
109 Henley Beach Road,109,Henley Beach Road,ADELAIDE,5000,"109 Henley Beach Road, Henley Beach South Australia 5022, Australia",CITY OF ADELAIDE,-34.925208,138.503913,4,Major Cities of Australia,mapbox_api
George Street,507,George Street,PORT AUGUSTA,5700,"George Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.494312,137.761365,2,Outer Regional Australia,mapbox_api
345 Elizabeth Street,345,Elizabeth Street,MURRAY BRIDGE,5253,"345 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118195,139.26328,2,Inner Regional Australia,mapbox_api
356 Rundle Street,356,Rundle Street,ADELAIDE,5000,"356 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922473,138.609705,4,Major Cities of Australia,mapbox_api
885 Hindley Street,885,Hindley Street,ADELAIDE,5000,"885 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923481,138.589634,4,Major Cities of Australia,mapbox_api
714 Halifax Street,714,Halifax Street,ADELAIDE,5000,"714 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932089,138.616601,4,Major Cities of Australia,mapbox_api
164 Hindley Street,164,Hindley Street,ADELAIDE,5000,"164 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923112,138.592927,4,Major Cities of Australia,mapbox_api
127 Goodwood Road,127,Goodwood Road,ADELAIDE,5000,"127 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.948652,138.589475,4,Major Cities of Australia,mapbox_api
296 Port Road,296,Port Road,ADELAIDE,5000,"296 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.903566,138.568393,4,Major Cities of Australia,mapbox_api
104 Port Road,104,Port Road,ADELAIDE,5000,"104 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905355,138.571737,4,Major Cities of Australia,mapbox_api
385 King Street,385,King Street,ADELAIDE,5000,"385 King Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.971775,138.51223,4,Major Cities of Australia,mapbox_api
Whitmore Square,462,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
57 Prospect Road,57,Prospect Road,ADELAIDE,5000,"57 Prospect Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.890829,138.594576,4,Major Cities of Australia,mapbox_api
645 Gawler Place,645,Gawler Place,ADELAIDE,5000,"645 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925171,138.602027,4,Major Cities of Australia,mapbox_api
419 Churchill Road North,419,Churchill Road,ADELAIDE,5000,"419 Churchill Road North, Dry Creek South Australia 5094, Australia",CITY OF ADELAIDE,-34.836754,138.587887,4,Major Cities of Australia,mapbox_api
255 Gawler Place,255,Gawler Place,ADELAIDE,5000,"255 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925175,138.602027,4,Major Cities of Australia,mapbox_api
56 Whitmore Square,56,Whitmore Square,ADELAIDE,5000,"56 Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933691,138.595274,4,Major Cities of Australia,mapbox_api
264 Pirie Street,264,Pirie Street,ADELAIDE,5000,"264 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925624,138.60248,4,Major Cities of Australia,mapbox_api
411 Grenfell Street,411,Grenfell Street,ADELAIDE,5000,"411 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.60869,4,Major Cities of Australia,mapbox_api
Unley Road,940,Upper Sturt Road,ADELAIDE,5000,"Unley Road, Unley South Australia 5061, Australia",CITY OF ADELAIDE,-34.951235,138.60753,4,Major Cities of Australia,mapbox_api
Portrush Road,723,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
Whitmore Square,212,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
627 Hindley Street,627,Hindley Street,ADELAIDE,5000,"627 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92348,138.589639,4,Major Cities of Australia,mapbox_api
East Terrace,655,East Terrace,CLARE,5453,"East Terrace, Clare South Australia 5453, Australia",CLARE AND GILBERT VALLEYS COUNCIL,-33.838764,138.619025,3,Inner Regional Australia,mapbox_api
647 Goodwood Road,647,Goodwood Road,ADELAIDE,5000,"647 Goodwood Road, Panorama South Australia 5041, Australia",CITY OF ADELAIDE,-34.997533,138.593199,4,Major Cities of Australia,mapbox_api
768 Torrens Road,768,Torrens Road,ADELAIDE,5000,"768 Torrens Road, Rosewater South Australia 5013, Australia",CITY OF ADELAIDE,-34.858451,138.521317,4,Major Cities of Australia,mapbox_api
525 Glen Osmond Road,525,Glen Osmond Road,ADELAIDE,5000,"525 Glen Osmond Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.963364,138.644124,4,Major Cities of Australia,mapbox_api
942 Prospect Road,942,Prospect Road,ADELAIDE,5000,"942 Prospect Road, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.900261,138.594445,4,Major Cities of Australia,mapbox_api
Hurtle Square,389,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
186 Rundle Street,186,Rundle Street,ADELAIDE,5000,"186 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922483,138.606573,4,Major Cities of Australia,mapbox_api
645 Lower North East Road,645,Lower North East Road,ADELAIDE,5000,"645 Lower North East Road, Dernancourt South Australia 5075, Australia",CITY OF ADELAIDE,-34.864276,138.679989,4,Major Cities of Australia,mapbox_api
772 Pirie Street,772,Pirie Street,ADELAIDE,5000,"772 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611748,4,Major Cities of Australia,mapbox_api
103 Hurtle Square,103,Hurtle Square,ADELAIDE,5000,"103 Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933234,138.606263,4,Major Cities of Australia,mapbox_api
965 Light Square,965,Light Square,ADELAIDE,5000,"965 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926089,138.593559,4,Major Cities of Australia,mapbox_api
294 Gawler Place,294,Gawler Place,ADELAIDE,5000,"294 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925174,138.602027,4,Major Cities of Australia,mapbox_api
642 Halifax Street,642,Halifax Street,ADELAIDE,5000,"642 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932089,138.616601,4,Major Cities of Australia,mapbox_api
444 Portrush Road,444,Portrush Road,ADELAIDE,5000,"444 Portrush Road, Linden Park South Australia 5065, Australia",CITY OF ADELAIDE,-34.943639,138.643097,4,Major Cities of Australia,mapbox_api
Hurtle Square,351,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
903 Light Square,903,Light Square,ADELAIDE,5000,"903 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926066,138.593505,4,Major Cities of Australia,mapbox_api
680 Grenfell Street,680,Grenfell Street,ADELAIDE,5000,"680 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.609408,4,Major Cities of Australia,mapbox_api
154 Wellington Square,154,Wellington Square,ADELAIDE,5000,"154 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.906243,138.591171,4,Major Cities of Australia,mapbox_api
242 Magill Road,242,Magill Road,ADELAIDE,5000,"242 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914959,138.642922,4,Major Cities of Australia,mapbox_api
182 Grenfell Street,182,Grenfell Street,ADELAIDE,5000,"182 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923954,138.6076,4,Major Cities of Australia,mapbox_api
213 Angas Street,213,Angas Street,ADELAIDE,5000,"213 Angas Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.929947,138.608916,4,Major Cities of Australia,mapbox_api
64 Prospect Road,64,Prospect Road,ADELAIDE,5000,"64 Prospect Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891678,138.593904,4,Major Cities of Australia,mapbox_api
199 Wellington Square,199,Wellington Square,ADELAIDE,5000,"199 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907152,138.59066,4,Major Cities of Australia,mapbox_api
906 Glen Osmond Road,906,Glen Osmond Road,ADELAIDE,5000,"906 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945929,138.624415,4,Major Cities of Australia,mapbox_api
394 Grand Junction Road,394,Grand Junction Road,ADELAIDE,5000,"394 Grand Junction Road, Enfield South Australia 5085, Australia",CITY OF ADELAIDE,-34.848037,138.6083,4,Major Cities of Australia,mapbox_api
210 Flinders Street,210,Flinders Street,ADELAIDE,5000,"210 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926682,138.600908,4,Major Cities of Australia,mapbox_api
Hurtle Square,210,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
937 Cross Road,937,Cross Road,ADELAIDE,5000,"937 Cross Road, Edwardstown South Australia 5039, Australia",CITY OF ADELAIDE,-34.967507,138.569356,4,Major Cities of Australia,mapbox_api
928 Marion Road,928,Marion Road,ADELAIDE,5000,"928 Marion Road, Sturt South Australia 5047, Australia",CITY OF ADELAIDE,-35.022193,138.558864,4,Major Cities of Australia,mapbox_api
414 Pirie Street,414,Pirie Street,ADELAIDE,5000,"414 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.61175,4,Major Cities of Australia,mapbox_api
471 Grenfell Street,471,Grenfell Street,ADELAIDE,5000,"471 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.60869,4,Major Cities of Australia,mapbox_api
931 Waymouth Street,931,Waymouth Street,ADELAIDE,5000,"931 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589084,4,Major Cities of Australia,mapbox_api
540 Wellington Square,540,Wellington Square,ADELAIDE,5000,"540 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.906289,138.591232,4,Major Cities of Australia,mapbox_api
243 Pulteney Street,243,Pulteney Street,ADELAIDE,5000,"243 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92205,138.605532,4,Major Cities of Australia,mapbox_api
376 Henley Beach Road,376,Henley Beach Road,ADELAIDE,5000,"376 Henley Beach Road, Lockleys South Australia 5032, Australia",CITY OF ADELAIDE,-34.92695,138.537497,4,Major Cities of Australia,mapbox_api
297 Waymouth Street,297,Waymouth Street,ADELAIDE,5000,"297 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926557,138.588722,4,Major Cities of Australia,mapbox_api
674 Cross Road,674,Cross Road,ADELAIDE,5000,"674 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965139,138.613718,4,Major Cities of Australia,mapbox_api
302 Hindley Street,302,Hindley Street,ADELAIDE,5000,"302 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590154,4,Major Cities of Australia,mapbox_api
966 Cross Road,966,Cross Road,ADELAIDE,5000,"966 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965139,138.613709,4,Major Cities of Australia,mapbox_api
661 Pulteney Street,661,Pulteney Street,ADELAIDE,5000,"661 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934637,138.606464,4,Major Cities of Australia,mapbox_api
